abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"RIOMILCO","=""02/05/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/06/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/07/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/08/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/09/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/10/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/11/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/12/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/13/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/14/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/15/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/16/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/17/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/18/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/19/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/20/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/21/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/22/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/23/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/24/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/25/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/26/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/27/1986 00:00""","","cfs","","","",
"RIOMILCO","=""02/28/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/01/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/02/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/03/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/04/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/05/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/06/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/07/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/08/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/09/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/10/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/11/1986 00:00""","","cfs","","","",
"RIOMILCO","=""03/12/1986 00:00""","","cfs","","","",
